,passenger_id,survived,pclass,name,gender,age,sibsp,parch,ticket,fare,cabin,embarked
26,27,False,3,"Emir, Mr. Farred Chehab",MALE,,0,0,2631,7.225,,Cherbourg
27,28,False,1,"Fortune, Mr. Charles Alexander",MALE,19.0,3,2,19950,263.0,C23 C25 C27,Southampton
28,29,True,3,"O'Dwyer, Miss. Ellen ""Nellie""",FEMALE,,0,0,330959,7.8792,,Queenstown
29,30,False,3,"Todoroff, Mr. Lalio",MALE,,0,0,349216,7.8958,,Southampton
30,31,False,1,"Uruchurtu, Don. Manuel E",MALE,40.0,0,0,PC 17601,27.7208,,Cherbourg
31,32,True,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",FEMALE,,1,0,PC 17569,146.5208,B78,Cherbourg
32,33,True,3,"Glynn, Miss. Mary Agatha",FEMALE,,0,0,335677,7.75,,Queenstown
33,34,False,2,"Wheadon, Mr. Edward H",MALE,66.0,0,0,C.A. 24579,10.5,,Southampton
34,35,False,1,"Meyer, Mr. Edgar Joseph",MALE,28.0,1,0,PC 17604,82.1708,,Cherbourg
35,36,False,1,"Holverson, Mr. Alexander Oskar",MALE,42.0,1,0,113789,52.0,,Southampton
36,37,True,3,"Mamee, Mr. Hanna",MALE,,0,0,2677,7.2292,,Cherbourg
37,38,False,3,"Cann, Mr. Ernest Charles",MALE,21.0,0,0,A./5. 2152,8.05,,Southampton
38,39,False,3,"Vander Planke, Miss. Augusta Maria",FEMALE,18.0,2,0,345764,18.0,,Southampton
39,40,True,3,"Nicola-Yarred, Miss. Jamila",FEMALE,14.0,1,0,2651,11.2417,,Cherbourg
40,41,False,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",FEMALE,40.0,1,0,7546,9.475,,Southampton
41,42,False,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",FEMALE,27.0,1,0,11668,21.0,,Southampton
42,43,False,3,"Kraeff, Mr. Theodor",MALE,,0,0,349253,7.8958,,Cherbourg
43,44,True,2,"Laroche, Miss. Simonne Marie Anne Andree",FEMALE,3.0,1,2,SC/Paris 2123,41.5792,,Cherbourg
44,45,True,3,"Devaney, Miss. Margaret Delia",FEMALE,19.0,0,0,330958,7.8792,,Queenstown
45,46,False,3,"Rogers, Mr. William John",MALE,,0,0,S.C./A.4. 23567,8.05,,Southampton
46,47,False,3,"Lennon, Mr. Denis",MALE,,1,0,370371,15.5,,Queenstown
47,48,True,3,"O'Driscoll, Miss. Bridget",FEMALE,,0,0,14311,7.75,,Queenstown
48,49,False,3,"Samaan, Mr. Youssef",MALE,,2,0,2662,21.6792,,Cherbourg
49,50,False,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",FEMALE,18.0,1,0,349237,17.8,,Southampton
50,51,False,3,"Panula, Master. Juha Niilo",MALE,7.0,4,1,3101295,39.6875,,Southampton
51,52,False,3,"Nosworthy, Mr. Richard Cater",MALE,21.0,0,0,A/4. 39886,7.8,,Southampton
52,53,True,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",FEMALE,49.0,1,0,PC 17572,76.7292,D33,Cherbourg
53,54,True,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",FEMALE,29.0,1,0,2926,26.0,,Southampton
54,55,False,1,"Ostby, Mr. Engelhart Cornelius",MALE,65.0,0,1,113509,61.9792,B30,Cherbourg
55,56,True,1,"Woolner, Mr. Hugh",MALE,,0,0,19947,35.5,C52,Southampton
56,57,True,2,"Rugg, Miss. Emily",FEMALE,21.0,0,0,C.A. 31026,10.5,,Southampton
57,58,False,3,"Novel, Mr. Mansouer",MALE,28.5,0,0,2697,7.2292,,Cherbourg
58,59,True,2,"West, Miss. Constance Mirium",FEMALE,5.0,1,2,C.A. 34651,27.75,,Southampton
59,60,False,3,"Goodwin, Master. William Frederick",MALE,11.0,5,2,CA 2144,46.9,,Southampton
60,61,False,3,"Sirayanian, Mr. Orsen",MALE,22.0,0,0,2669,7.2292,,Cherbourg
61,62,True,1,"Icard, Miss. Amelie",FEMALE,38.0,0,0,113572,80.0,B28,
62,63,False,1,"Harris, Mr. Henry Birkhardt",MALE,45.0,1,0,36973,83.475,C83,Southampton
63,64,False,3,"Skoog, Master. Harald",MALE,4.0,3,2,347088,27.9,,Southampton
64,65,False,1,"Stewart, Mr. Albert A",MALE,,0,0,PC 17605,27.7208,,Cherbourg
65,66,True,3,"Moubarek, Master. Gerios",MALE,,1,1,2661,15.2458,,Cherbourg
66,67,True,2,"Nye, Mrs. (Elizabeth Ramell)",FEMALE,29.0,0,0,C.A. 29395,10.5,F33,Southampton
67,68,False,3,"Crease, Mr. Ernest James",MALE,19.0,0,0,S.P. 3464,8.1583,,Southampton
68,69,True,3,"Andersson, Miss. Erna Alexandra",FEMALE,17.0,4,2,3101281,7.925,,Southampton
69,70,False,3,"Kink, Mr. Vincenz",MALE,26.0,2,0,315151,8.6625,,Southampton
70,71,False,2,"Jenkin, Mr. Stephen Curnow",MALE,32.0,0,0,C.A. 33111,10.5,,Southampton
71,72,False,3,"Goodwin, Miss. Lillian Amy",FEMALE,16.0,5,2,CA 2144,46.9,,Southampton
72,73,False,2,"Hood, Mr. Ambrose Jr",MALE,21.0,0,0,S.O.C. 14879,73.5,,Southampton
73,74,False,3,"Chronopoulos, Mr. Apostolos",MALE,26.0,1,0,2680,14.4542,,Cherbourg
74,75,True,3,"Bing, Mr. Lee",MALE,32.0,0,0,1601,56.4958,,Southampton
75,76,False,3,"Moen, Mr. Sigurd Hansen",MALE,25.0,0,0,348123,7.65,F G73,Southampton
76,77,False,3,"Staneff, Mr. Ivan",MALE,,0,0,349208,7.8958,,Southampton
77,78,False,3,"Moutal, Mr. Rahamin Haim",MALE,,0,0,374746,8.05,,Southampton
78,79,True,2,"Caldwell, Master. Alden Gates",MALE,0.83,0,2,248738,29.0,,Southampton
79,80,True,3,"Dowdell, Miss. Elizabeth",FEMALE,30.0,0,0,364516,12.475,,Southampton
80,81,False,3,"Waelens, Mr. Achille",MALE,22.0,0,0,345767,9.0,,Southampton
81,82,True,3,"Sheerlinck, Mr. Jan Baptist",MALE,29.0,0,0,345779,9.5,,Southampton
82,83,True,3,"McDermott, Miss. Brigdet Delia",FEMALE,,0,0,330932,7.7875,,Queenstown
83,84,False,1,"Carrau, Mr. Francisco M",MALE,28.0,0,0,113059,47.1,,Southampton
84,85,True,2,"Ilett, Miss. Bertha",FEMALE,17.0,0,0,SO/C 14885,10.5,,Southampton
85,86,True,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",FEMALE,33.0,3,0,3101278,15.85,,Southampton
86,87,False,3,"Ford, Mr. William Neal",MALE,16.0,1,3,W./C. 6608,34.375,,Southampton
87,88,False,3,"Slocovski, Mr. Selman Francis",MALE,,0,0,SOTON/OQ 392086,8.05,,Southampton
88,89,True,1,"Fortune, Miss. Mabel Helen",FEMALE,23.0,3,2,19950,263.0,C23 C25 C27,Southampton
89,90,False,3,"Celotti, Mr. Francesco",MALE,24.0,0,0,343275,8.05,,Southampton
90,91,False,3,"Christmann, Mr. Emil",MALE,29.0,0,0,343276,8.05,,Southampton
91,92,False,3,"Andreasson, Mr. Paul Edvin",MALE,20.0,0,0,347466,7.8542,,Southampton
92,93,False,1,"Chaffee, Mr. Herbert Fuller",MALE,46.0,1,0,W.E.P. 5734,61.175,E31,Southampton
93,94,False,3,"Dean, Mr. Bertram Frank",MALE,26.0,1,2,C.A. 2315,20.575,,Southampton
94,95,False,3,"Coxon, Mr. Daniel",MALE,59.0,0,0,364500,7.25,,Southampton
95,96,False,3,"Shorney, Mr. Charles Joseph",MALE,,0,0,374910,8.05,,Southampton
96,97,False,1,"Goldschmidt, Mr. George B",MALE,71.0,0,0,PC 17754,34.6542,A5,Cherbourg
97,98,True,1,"Greenfield, Mr. William Bertram",MALE,23.0,0,1,PC 17759,63.3583,D10 D12,Cherbourg
98,99,True,2,"Doling, Mrs. John T (Ada Julia Bone)",FEMALE,34.0,0,1,231919,23.0,,Southampton
99,100,False,2,"Kantor, Mr. Sinai",MALE,34.0,1,0,244367,26.0,,Southampton
100,101,False,3,"Petranec, Miss. Matilda",FEMALE,28.0,0,0,349245,7.8958,,Southampton
101,102,False,3,"Petroff, Mr. Pastcho (""Pentcho"")",MALE,,0,0,349215,7.8958,,Southampton
102,103,False,1,"White, Mr. Richard Frasar",MALE,21.0,0,1,35281,77.2875,D26,Southampton
103,104,False,3,"Johansson, Mr. Gustaf Joel",MALE,33.0,0,0,7540,8.6542,,Southampton
104,105,False,3,"Gustafsson, Mr. Anders Vilhelm",MALE,37.0,2,0,3101276,7.925,,Southampton
105,106,False,3,"Mionoff, Mr. Stoytcho",MALE,28.0,0,0,349207,7.8958,,Southampton
106,107,True,3,"Salkjelsvik, Miss. Anna Kristine",FEMALE,21.0,0,0,343120,7.65,,Southampton
107,108,True,3,"Moss, Mr. Albert Johan",MALE,,0,0,312991,7.775,,Southampton
108,109,False,3,"Rekic, Mr. Tido",MALE,38.0,0,0,349249,7.8958,,Southampton
109,110,True,3,"Moran, Miss. Bertha",FEMALE,,1,0,371110,24.15,,Queenstown
110,111,False,1,"Porter, Mr. Walter Chamberlain",MALE,47.0,0,0,110465,52.0,C110,Southampton
111,112,False,3,"Zabour, Miss. Hileni",FEMALE,14.5,1,0,2665,14.4542,,Cherbourg
112,113,False,3,"Barton, Mr. David John",MALE,22.0,0,0,324669,8.05,,Southampton
113,114,False,3,"Jussila, Miss. Katriina",FEMALE,20.0,1,0,4136,9.825,,Southampton
114,115,False,3,"Attalah, Miss. Malake",FEMALE,17.0,0,0,2627,14.4583,,Cherbourg
115,116,False,3,"Pekoniemi, Mr. Edvard",MALE,21.0,0,0,STON/O 2. 3101294,7.925,,Southampton
116,117,False,3,"Connors, Mr. Patrick",MALE,70.5,0,0,370369,7.75,,Queenstown
117,118,False,2,"Turpin, Mr. William John Robert",MALE,29.0,1,0,11668,21.0,,Southampton
118,119,False,1,"Baxter, Mr. Quigg Edmond",MALE,24.0,0,1,PC 17558,247.5208,B58 B60,Cherbourg
119,120,False,3,"Andersson, Miss. Ellis Anna Maria",FEMALE,2.0,4,2,347082,31.275,,Southampton
120,121,False,2,"Hickman, Mr. Stanley George",MALE,21.0,2,0,S.O.C. 14879,73.5,,Southampton
121,122,False,3,"Moore, Mr. Leonard Charles",MALE,,0,0,A4. 54510,8.05,,Southampton
122,123,False,2,"Nasser, Mr. Nicholas",MALE,32.5,1,0,237736,30.0708,,Cherbourg
123,124,True,2,"Webber, Miss. Susan",FEMALE,32.5,0,0,27267,13.0,E101,Southampton
124,125,False,1,"White, Mr. Percival Wayland",MALE,54.0,0,1,35281,77.2875,D26,Southampton
125,126,True,3,"Nicola-Yarred, Master. Elias",MALE,12.0,1,0,2651,11.2417,,Cherbourg
126,127,False,3,"McMahon, Mr. Martin",MALE,,0,0,370372,7.75,,Queenstown
127,128,True,3,"Madsen, Mr. Fridtjof Arne",MALE,24.0,0,0,C 17369,7.1417,,Southampton
128,129,True,3,"Peter, Miss. Anna",FEMALE,,1,1,2668,22.3583,F E69,Cherbourg
129,130,False,3,"Ekstrom, Mr. Johan",MALE,45.0,0,0,347061,6.975,,Southampton
130,131,False,3,"Drazenoic, Mr. Jozef",MALE,33.0,0,0,349241,7.8958,,Cherbourg
131,132,False,3,"Coelho, Mr. Domingos Fernandeo",MALE,20.0,0,0,SOTON/O.Q. 3101307,7.05,,Southampton
132,133,False,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",FEMALE,47.0,1,0,A/5. 3337,14.5,,Southampton
133,134,True,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",FEMALE,29.0,1,0,228414,26.0,,Southampton
134,135,False,2,"Sobey, Mr. Samuel James Hayden",MALE,25.0,0,0,C.A. 29178,13.0,,Southampton
135,136,False,2,"Richard, Mr. Emile",MALE,23.0,0,0,SC/PARIS 2133,15.0458,,Cherbourg
136,137,True,1,"Newsom, Miss. Helen Monypeny",FEMALE,19.0,0,2,11752,26.2833,D47,Southampton
137,138,False,1,"Futrelle, Mr. Jacques Heath",MALE,37.0,1,0,113803,53.1,C123,Southampton
138,139,False,3,"Osen, Mr. Olaf Elon",MALE,16.0,0,0,7534,9.2167,,Southampton
139,140,False,1,"Giglio, Mr. Victor",MALE,24.0,0,0,PC 17593,79.2,B86,Cherbourg
140,141,False,3,"Boulos, Mrs. Joseph (Sultana)",FEMALE,,0,2,2678,15.2458,,Cherbourg
141,142,True,3,"Nysten, Miss. Anna Sofia",FEMALE,22.0,0,0,347081,7.75,,Southampton
142,143,True,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",FEMALE,24.0,1,0,STON/O2. 3101279,15.85,,Southampton
143,144,False,3,"Burke, Mr. Jeremiah",MALE,19.0,0,0,365222,6.75,,Queenstown
144,145,False,2,"Andrew, Mr. Edgardo Samuel",MALE,18.0,0,0,231945,11.5,,Southampton
145,146,False,2,"Nicholls, Mr. Joseph Charles",MALE,19.0,1,1,C.A. 33112,36.75,,Southampton
146,147,True,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",MALE,27.0,0,0,350043,7.7958,,Southampton
147,148,False,3,"Ford, Miss. Robina Maggie ""Ruby""",FEMALE,9.0,2,2,W./C. 6608,34.375,,Southampton
148,149,False,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",MALE,36.5,0,2,230080,26.0,F2,Southampton
149,150,False,2,"Byles, Rev. Thomas Roussel Davids",MALE,42.0,0,0,244310,13.0,,Southampton
150,151,False,2,"Bateman, Rev. Robert James",MALE,51.0,0,0,S.O.P. 1166,12.525,,Southampton
151,152,True,1,"Pears, Mrs. Thomas (Edith Wearne)",FEMALE,22.0,1,0,113776,66.6,C2,Southampton
152,153,False,3,"Meo, Mr. Alfonzo",MALE,55.5,0,0,A.5. 11206,8.05,,Southampton
153,154,False,3,"van Billiard, Mr. Austin Blyler",MALE,40.5,0,2,A/5. 851,14.5,,Southampton
154,155,False,3,"Olsen, Mr. Ole Martin",MALE,,0,0,Fa 265302,7.3125,,Southampton
155,156,False,1,"Williams, Mr. Charles Duane",MALE,51.0,0,1,PC 17597,61.3792,,Cherbourg
156,157,True,3,"Gilnagh, Miss. Katherine ""Katie""",FEMALE,16.0,0,0,35851,7.7333,,Queenstown
157,158,False,3,"Corn, Mr. Harry",MALE,30.0,0,0,SOTON/OQ 392090,8.05,,Southampton
158,159,False,3,"Smiljanic, Mr. Mile",MALE,,0,0,315037,8.6625,,Southampton
159,160,False,3,"Sage, Master. Thomas Henry",MALE,,8,2,CA. 2343,69.55,,Southampton
160,161,False,3,"Cribb, Mr. John Hatfield",MALE,44.0,0,1,371362,16.1,,Southampton
161,162,True,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",FEMALE,40.0,0,0,C.A. 33595,15.75,,Southampton
162,163,False,3,"Bengtsson, Mr. John Viktor",MALE,26.0,0,0,347068,7.775,,Southampton
163,164,False,3,"Calic, Mr. Jovo",MALE,17.0,0,0,315093,8.6625,,Southampton
164,165,False,3,"Panula, Master. Eino Viljami",MALE,1.0,4,1,3101295,39.6875,,Southampton
165,166,True,3,"Goldsmith, Master. Frank John William ""Frankie""",MALE,9.0,0,2,363291,20.525,,Southampton
166,167,True,1,"Chibnall, Mrs. (Edith Martha Bowerman)",FEMALE,,0,1,113505,55.0,E33,Southampton
167,168,False,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",FEMALE,45.0,1,4,347088,27.9,,Southampton
168,169,False,1,"Baumann, Mr. John D",MALE,,0,0,PC 17318,25.925,,Southampton
169,170,False,3,"Ling, Mr. Lee",MALE,28.0,0,0,1601,56.4958,,Southampton
170,171,False,1,"Van der hoef, Mr. Wyckoff",MALE,61.0,0,0,111240,33.5,B19,Southampton
171,172,False,3,"Rice, Master. Arthur",MALE,4.0,4,1,382652,29.125,,Queenstown
172,173,True,3,"Johnson, Miss. Eleanor Ileen",FEMALE,1.0,1,1,347742,11.1333,,Southampton
173,174,False,3,"Sivola, Mr. Antti Wilhelm",MALE,21.0,0,0,STON/O 2. 3101280,7.925,,Southampton
174,175,False,1,"Smith, Mr. James Clinch",MALE,56.0,0,0,17764,30.6958,A7,Cherbourg
175,176,False,3,"Klasen, Mr. Klas Albin",MALE,18.0,1,1,350404,7.8542,,Southampton
176,177,False,3,"Lefebre, Master. Henry Forbes",MALE,,3,1,4133,25.4667,,Southampton
177,178,False,1,"Isham, Miss. Ann Elizabeth",FEMALE,50.0,0,0,PC 17595,28.7125,C49,Cherbourg
178,179,False,2,"Hale, Mr. Reginald",MALE,30.0,0,0,250653,13.0,,Southampton
179,180,False,3,"Leonard, Mr. Lionel",MALE,36.0,0,0,LINE,0.0,,Southampton
180,181,False,3,"Sage, Miss. Constance Gladys",FEMALE,,8,2,CA. 2343,69.55,,Southampton
181,182,False,2,"Pernot, Mr. Rene",MALE,,0,0,SC/PARIS 2131,15.05,,Cherbourg
182,183,False,3,"Asplund, Master. Clarence Gustaf Hugo",MALE,9.0,4,2,347077,31.3875,,Southampton
183,184,True,2,"Becker, Master. Richard F",MALE,1.0,2,1,230136,39.0,F4,Southampton
184,185,True,3,"Kink-Heilmann, Miss. Luise Gretchen",FEMALE,4.0,0,2,315153,22.025,,Southampton
185,186,False,1,"Rood, Mr. Hugh Roscoe",MALE,,0,0,113767,50.0,A32,Southampton
186,187,True,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",FEMALE,,1,0,370365,15.5,,Queenstown
187,188,True,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",MALE,45.0,0,0,111428,26.55,,Southampton
188,189,False,3,"Bourke, Mr. John",MALE,40.0,1,1,364849,15.5,,Queenstown
189,190,False,3,"Turcin, Mr. Stjepan",MALE,36.0,0,0,349247,7.8958,,Southampton
190,191,True,2,"Pinsky, Mrs. (Rosa)",FEMALE,32.0,0,0,234604,13.0,,Southampton
191,192,False,2,"Carbines, Mr. William",MALE,19.0,0,0,28424,13.0,,Southampton
192,193,True,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",FEMALE,19.0,1,0,350046,7.8542,,Southampton
193,194,True,2,"Navratil, Master. Michel M",MALE,3.0,1,1,230080,26.0,F2,Southampton
194,195,True,1,"Brown, Mrs. James Joseph (Margaret Tobin)",FEMALE,44.0,0,0,PC 17610,27.7208,B4,Cherbourg
195,196,True,1,"Lurette, Miss. Elise",FEMALE,58.0,0,0,PC 17569,146.5208,B80,Cherbourg
196,197,False,3,"Mernagh, Mr. Robert",MALE,,0,0,368703,7.75,,Queenstown
197,198,False,3,"Olsen, Mr. Karl Siegwart Andreas",MALE,42.0,0,1,4579,8.4042,,Southampton
198,199,True,3,"Madigan, Miss. Margaret ""Maggie""",FEMALE,,0,0,370370,7.75,,Queenstown
199,200,False,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",FEMALE,24.0,0,0,248747,13.0,,Southampton
200,201,False,3,"Vande Walle, Mr. Nestor Cyriel",MALE,28.0,0,0,345770,9.5,,Southampton
201,202,False,3,"Sage, Mr. Frederick",MALE,,8,2,CA. 2343,69.55,,Southampton
202,203,False,3,"Johanson, Mr. Jakob Alfred",MALE,34.0,0,0,3101264,6.4958,,Southampton
203,204,False,3,"Youseff, Mr. Gerious",MALE,45.5,0,0,2628,7.225,,Cherbourg
204,205,True,3,"Cohen, Mr. Gurshon ""Gus""",MALE,18.0,0,0,A/5 3540,8.05,,Southampton
205,206,False,3,"Strom, Miss. Telma Matilda",FEMALE,2.0,0,1,347054,10.4625,G6,Southampton
206,207,False,3,"Backstrom, Mr. Karl Alfred",MALE,32.0,1,0,3101278,15.85,,Southampton
207,208,True,3,"Albimona, Mr. Nassef Cassem",MALE,26.0,0,0,2699,18.7875,,Cherbourg
208,209,True,3,"Carr, Miss. Helen ""Ellen""",FEMALE,16.0,0,0,367231,7.75,,Queenstown
209,210,True,1,"Blank, Mr. Henry",MALE,40.0,0,0,112277,31.0,A31,Cherbourg
210,211,False,3,"Ali, Mr. Ahmed",MALE,24.0,0,0,SOTON/O.Q. 3101311,7.05,,Southampton
211,212,True,2,"Cameron, Miss. Clear Annie",FEMALE,35.0,0,0,F.C.C. 13528,21.0,,Southampton
212,213,False,3,"Perkin, Mr. John Henry",MALE,22.0,0,0,A/5 21174,7.25,,Southampton
213,214,False,2,"Givard, Mr. Hans Kristensen",MALE,30.0,0,0,250646,13.0,,Southampton
214,215,False,3,"Kiernan, Mr. Philip",MALE,,1,0,367229,7.75,,Queenstown
215,216,True,1,"Newell, Miss. Madeleine",FEMALE,31.0,1,0,35273,113.275,D36,Cherbourg
216,217,True,3,"Honkanen, Miss. Eliina",FEMALE,27.0,0,0,STON/O2. 3101283,7.925,,Southampton
217,218,False,2,"Jacobsohn, Mr. Sidney Samuel",MALE,42.0,1,0,243847,27.0,,Southampton
218,219,True,1,"Bazzani, Miss. Albina",FEMALE,32.0,0,0,11813,76.2917,D15,Cherbourg
219,220,False,2,"Harris, Mr. Walter",MALE,30.0,0,0,W/C 14208,10.5,,Southampton
220,221,True,3,"Sunderland, Mr. Victor Francis",MALE,16.0,0,0,SOTON/OQ 392089,8.05,,Southampton
221,222,False,2,"Bracken, Mr. James H",MALE,27.0,0,0,220367,13.0,,Southampton
222,223,False,3,"Green, Mr. George Henry",MALE,51.0,0,0,21440,8.05,,Southampton
223,224,False,3,"Nenkoff, Mr. Christo",MALE,,0,0,349234,7.8958,,Southampton
224,225,True,1,"Hoyt, Mr. Frederick Maxfield",MALE,38.0,1,0,19943,90.0,C93,Southampton
225,226,False,3,"Berglund, Mr. Karl Ivar Sven",MALE,22.0,0,0,PP 4348,9.35,,Southampton
226,227,True,2,"Mellors, Mr. William John",MALE,19.0,0,0,SW/PP 751,10.5,,Southampton
227,228,False,3,"Lovell, Mr. John Hall (""Henry"")",MALE,20.5,0,0,A/5 21173,7.25,,Southampton
228,229,False,2,"Fahlstrom, Mr. Arne Jonas",MALE,18.0,0,0,236171,13.0,,Southampton
229,230,False,3,"Lefebre, Miss. Mathilde",FEMALE,,3,1,4133,25.4667,,Southampton
230,231,True,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",FEMALE,35.0,1,0,36973,83.475,C83,Southampton
231,232,False,3,"Larsson, Mr. Bengt Edvin",MALE,29.0,0,0,347067,7.775,,Southampton
232,233,False,2,"Sjostedt, Mr. Ernst Adolf",MALE,59.0,0,0,237442,13.5,,Southampton
233,234,True,3,"Asplund, Miss. Lillian Gertrud",FEMALE,5.0,4,2,347077,31.3875,,Southampton
234,235,False,2,"Leyson, Mr. Robert William Norman",MALE,24.0,0,0,C.A. 29566,10.5,,Southampton
235,236,False,3,"Harknett, Miss. Alice Phoebe",FEMALE,,0,0,W./C. 6609,7.55,,Southampton
236,237,False,2,"Hold, Mr. Stephen",MALE,44.0,1,0,26707,26.0,,Southampton
237,238,True,2,"Collyer, Miss. Marjorie ""Lottie""",FEMALE,8.0,0,2,C.A. 31921,26.25,,Southampton
238,239,False,2,"Pengelly, Mr. Frederick William",MALE,19.0,0,0,28665,10.5,,Southampton
239,240,False,2,"Hunt, Mr. George Henry",MALE,33.0,0,0,SCO/W 1585,12.275,,Southampton
240,241,False,3,"Zabour, Miss. Thamine",FEMALE,,1,0,2665,14.4542,,Cherbourg
241,242,True,3,"Murphy, Miss. Katherine ""Kate""",FEMALE,,1,0,367230,15.5,,Queenstown
242,243,False,2,"Coleridge, Mr. Reginald Charles",MALE,29.0,0,0,W./C. 14263,10.5,,Southampton
243,244,False,3,"Maenpaa, Mr. Matti Alexanteri",MALE,22.0,0,0,STON/O 2. 3101275,7.125,,Southampton
244,245,False,3,"Attalah, Mr. Sleiman",MALE,30.0,0,0,2694,7.225,,Cherbourg
245,246,False,1,"Minahan, Dr. William Edward",MALE,44.0,2,0,19928,90.0,C78,Queenstown
246,247,False,3,"Lindahl, Miss. Agda Thorilda Viktoria",FEMALE,25.0,0,0,347071,7.775,,Southampton
247,248,True,2,"Hamalainen, Mrs. William (Anna)",FEMALE,24.0,0,2,250649,14.5,,Southampton
248,249,True,1,"Beckwith, Mr. Richard Leonard",MALE,37.0,1,1,11751,52.5542,D35,Southampton
249,250,False,2,"Carter, Rev. Ernest Courtenay",MALE,54.0,1,0,244252,26.0,,Southampton
250,251,False,3,"Reed, Mr. James George",MALE,,0,0,362316,7.25,,Southampton
251,252,False,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",FEMALE,29.0,1,1,347054,10.4625,G6,Southampton
252,253,False,1,"Stead, Mr. William Thomas",MALE,62.0,0,0,113514,26.55,C87,Southampton
253,254,False,3,"Lobb, Mr. William Arthur",MALE,30.0,1,0,A/5. 3336,16.1,,Southampton
